City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,torquay,50.4638,-3.5143,19.3,87,99,4.47,GB,1690103039
247,minas de marcona,-15.2119,-75.1103,11.41,92,35,3.94,PE,1690102572
248,yamba,-5.9,22.3,35.09,18,19,3.47,CD,1690103040
249,richards bay,-28.783,32.0377,23.08,42,14,1.42,ZA,1690102770
250,roma,43.2128,-75.4557,15.4,95,0,1.54,US,1690102402
251,puerto aysen,-45.4,-72.7,-0.15,98,70,1.06,CL,1690102572
252,ribeira brava,32.65,-17.0667,23.17,73,11,1.23,PT,1690102562
253,vernon,50.2581,-119.2691,20.74,56,26,0.51,CA,1690102802
254,pechora,65.1472,57.2244,23.32,42,92,3.62,RU,1690103046
255,kruisfontein,-34.0033,24.7314,14.38,59,29,6.03,ZA,1690102589
256,tezu,27.9167,96.1667,30.84,78,97,1.18,IN,1690102552
257,rabaul,-4.1967,152.1721,26.65,80,100,7.69,PG,1690102586
258,dudinka,69.4058,86.1778,22.2,59,47,5.26,RU,1690102541
259,troitsko-pechorsk,62.7084,56.1964,21.1,46,53,3.57,RU,1690103050
260,sosnogorsk,63.6023,53.8817,19.52,53,93,4.1,RU,1690103051
261,luchegorsk,46.4764,134.2569,21.48,98,100,1.78,RU,1690103051
262,ulladulla,-35.35,150.4667,11.04,80,4,2.88,AU,1690102563
263,baringo,0.4667,35.9667,30.35,32,42,1.63,KE,1690103053
264,sa'dah,16.9402,43.7639,33.62,10,16,4.83,YE,1690102936
265,serang,-6.1149,106.1502,28.76,66,37,2.86,ID,1690103054
266,mo i rana,66.3128,14.1428,12.96,93,75,1.79,NO,1690102994
267,nemuro,43.3236,145.575,16.37,92,82,5.25,JP,1690102516
268,mbanza kongo,-6.267,14.2401,27.05,51,22,2.15,AO,1690102564
269,ta`u,-14.2336,-169.5144,27.27,80,16,1.68,AS,1690102573
270,whistler,50.1164,-122.9695,11.66,77,90,0.46,CA,1690103058
271,nar'yan-mar,67.6713,53.087,18.74,81,100,1.27,RU,1690102520
272,tame,6.461,-71.73,21.3,92,93,1.66,CO,1690103060
273,bani walid,31.7566,13.9942,38.0,11,0,2.14,LY,1690103060
274,mutum,-19.8,-41.4383,19.0,79,100,0.47,BR,1690103061
275,lebu,-37.6167,-73.65,7.65,88,38,2.17,CL,1690102521
276,bardai,11.65,7.2333,26.34,68,24,3.96,NG,1690103062
277,springbok,-29.6643,17.8865,11.49,22,98,1.57,ZA,1690103063
278,north battleford,52.7834,-108.2847,15.05,94,0,1.54,CA,1690102831
279,kill devil hills,36.0307,-75.676,25.55,87,0,0.0,US,1690102572
280,tazacorte,28.629,-17.9293,23.54,85,40,8.23,ES,1690102539
281,papao,-17.75,-149.55,22.82,69,54,5.75,PF,1690103032
282,luang prabang,19.8856,102.1347,35.98,49,40,2.06,LA,1690103067
283,san juan,-31.5375,-68.5364,7.99,68,98,0.54,AR,1690102965
284,praia da vitoria,38.7333,-27.0667,22.09,94,75,4.04,PT,1690102513
285,portland,45.5234,-122.6762,20.99,72,0,3.09,US,1690102360
286,saldanha,-33.0117,17.9442,12.03,71,99,5.23,ZA,1690102596
287,severo-yeniseyskiy,60.3725,93.0408,23.08,55,84,0.46,RU,1690103070
288,lagos,6.5833,3.75,24.18,97,100,0.46,NG,1690102990
289,ocean shores,46.9737,-124.1563,14.41,95,0,0.89,US,1690103071
290,geraldton,-28.7667,114.6,19.23,59,0,5.66,AU,1690102577
291,sinabang,2.4803,96.3801,28.02,76,78,1.79,ID,1690102533
292,dolores,-36.3132,-57.6792,8.22,88,1,4.0,AR,1690103073
293,puerto deseado,-47.7503,-65.8938,-0.34,81,26,8.61,AR,1690102557
294,guiuan,11.0333,125.7247,29.01,77,100,11.23,PH,1690103074
